post_id,title,category,score,num_comments,author,collected_at
47704804,How NASA built Artemis II’s fault-tolerant computer,technology,259,86,speckx,2026-04-10 09:36:12
47713113,"The Raft Consensus Algorithm Explained Through ""Mean Girls""",technology,57,16,vermilingua,2026-04-10 09:36:13
47708818,Native Instant Space Switching on macOS,science,434,201,PaulHoule,2026-04-10 09:36:14
47675906,Generative art over the years,technology,94,24,evakhoury,2026-04-10 09:36:14
47712718,I still prefer MCP over skills,technology,57,63,gmays,2026-04-10 09:36:15
47675731,Principles of Mechanical Sympathy,technology,33,4,zdw,2026-04-10 09:36:17
47712656,We've raised $17M to build what comes after Git,technology,53,71,ellieh,2026-04-10 09:36:18
47709158,Charcuterie – Visual similarity Unicode explorer,technology,187,34,rickcarlino,2026-04-10 09:36:18
47713584,"Afrika Bambaataa, hip-hop pioneer, has died",technology,71,8,mellosouls,2026-04-10 09:36:19
47713744,CollectWise (YC F24) Is Hiring,technology,1,0,OBrien_1107,2026-04-10 09:36:20
47680005,RAM Has a Design Flaw from 1966. I Bypassed It [video],technology,144,21,surprisetalk,2026-04-10 09:36:21
47708041,PicoZ80 – Drop-In Z80 Replacement,technology,177,30,rickcarlino,2026-04-10 09:36:22
47709130,Reverse engineering Gemini's SynthID detection,technology,132,49,_tk_,2026-04-10 09:36:22
47706140,Unfolder for Mac – A 3D model unfolding tool for creating papercraft,technology,189,37,codazoda,2026-04-10 09:36:23
47707477,Old laptops in a colo as low cost servers,technology,221,122,argentum47,2026-04-10 09:36:24
47706141,Research-Driven Agents: When an agent reads before it codes,technology,164,48,hopechong,2026-04-10 09:36:25
47707632,"Instant 1.0, a backend for AI-coded apps",technology,115,67,stopachka,2026-04-10 09:36:26
47707762,"Hegel, a universal property-based testing protocol and family of PBT libraries",technology,106,31,PaulHoule,2026-04-10 09:36:26
47710007,Moving from WordPress to Jekyll (and static site generators in general),technology,70,36,rgrieselhuber,2026-04-10 09:36:27
47660911,Will I ever own a zettaflop?,technology,77,42,surprisetalk,2026-04-10 09:36:28
47670188,Robots eat cars,technology,49,46,JMill,2026-04-10 09:36:29
47689550,"LLM plays an 8-bit Commander X16 game using structured ""smart senses""",technology,19,2,russellharper,2026-04-10 09:36:30
47683042,VFX HQ: Visual Effects Headquarters (2000),technology,4,0,exvi,2026-04-10 09:36:30
47674950,An AI robot in my home,technology,28,10,kukanani,2026-04-10 09:36:31
47710466,Kagi Product Tips – Customize Your Search Results with URL Redirects,technology,50,3,treetalker,2026-04-10 09:36:32
47713265,"Installing OpenBSD on the Pomera DM250{,XY?}",technology,9,0,jandeboevrie,2026-04-10 09:36:33
47710907,Many African families spend fortunes burying their dead,technology,183,166,powera,2026-04-10 09:36:33
47705413,Show HN: I built a Cargo-like build tool for C/C++,entertainment,142,125,randerson_112,2026-04-10 09:36:34
47702541,A WebGPU implementation of Augmented Vertex Block Descent,technology,138,17,juretriglav,2026-04-10 09:36:35
47695666,Show HN: Druids – Build your own software factory,technology,47,9,etherio,2026-04-10 09:36:36
47712222,New iPhone age and identity checks restrict internet freedom in the UK,technology,175,83,josephcsible,2026-04-10 09:36:37
47710835,"Show HN: Rust based eBook library for Python, with MIT license",entertainment,20,1,larry-the-agent,2026-04-10 09:36:37
47697870,LittleSnitch for Linux,technology,1302,418,pluc,2026-04-10 09:36:38
47706268,EFF is leaving X,technology,1281,1082,gregsadetsky,2026-04-10 09:36:39
47710149,Microsoft is employing dark patterns to goad users into paying for storage?,technology,303,172,jpmitchell,2026-04-10 09:36:40
47702647,"Launch HN: Relvy (YC F24) – On-call runbooks, automated",entertainment,45,23,behat,2026-04-10 09:36:41
47709251,Netflix Prices Went Up Again – I Bought a DVD Player Instead,technology,194,226,speckx,2026-04-10 09:36:42
47691730,I ported Mac OS X to the Nintendo Wii,technology,1849,315,blkhp19,2026-04-10 09:36:42
47702196,"Show HN: CSS Studio. Design by hand, code by agent",technology,147,94,SirHound,2026-04-10 09:36:43
47703419,Meta removes ads for social media addiction litigation,technology,575,235,giuliomagnifico,2026-04-10 09:36:44
47712340,Microsoft PhotoDNA scanning problem,technology,95,43,darkzek,2026-04-10 09:36:45
47710782,The Training Example Lie Bracket,technology,26,13,pb1729,2026-04-10 09:36:46
47702499,Lichess and Take Take Take Sign Cooperation Agreement,technology,181,55,stevage,2026-04-10 09:36:46
47651764,How Close Is Too Close? Applying Fluid Dynamics Research Methods to PC Cooling,science,26,5,LabsLucas,2026-04-10 09:36:47
47701148,Top laptops to use with FreeBSD,technology,307,174,fork-bomber,2026-04-10 09:36:48
47701100,Creating the Futurescape for the Fifth Element (2019),technology,119,98,nixass,2026-04-10 09:36:49
47687273,Git commands I run before reading any code,technology,2238,472,grepsedawk,2026-04-10 09:36:50
47713732,First man convicted under Take It Down Act kept making AI nudes after arrest,technology,8,0,tzs,2026-04-10 09:36:51
47700972,Reallocating $100/Month Claude Code Spend to Zed and OpenRouter,technology,321,215,kisamoto,2026-04-10 09:36:51
47712771,"Google's AI Overviews spew false answers per hour, bombshell study reveals",technology,20,4,1vuio0pswjnm7,2026-04-10 09:36:52
47661977,Doing Impressions: Monet's Early Caricatures (ca. late 1850s),technology,47,1,prismatic,2026-04-10 09:36:53
47680061,Building a framework-agnostic Ruby gem (and making sure it doesn't break),technology,48,6,joemasilotti,2026-04-10 09:36:54
47708411,Bitmap fonts make computers feel like computers again,technology,100,77,speckx,2026-04-10 09:36:55
47661972,Small Engines,technology,83,18,surprisetalk,2026-04-10 09:36:55
47701233,Claude mixes up who said what,technology,423,329,sixhobbits,2026-04-10 09:36:56
47708817,Maine is about to become the first state to ban major new data centers,technology,273,387,rmason,2026-04-10 09:36:57
47703123,How Pizza Tycoon simulated traffic on a 25 MHz CPU,technology,277,59,FinnKuhn,2026-04-10 09:36:58
47703528,"The Future of Everything Is Lies, I Guess: Part 3 – Culture",technology,119,85,aphyr,2026-04-10 09:36:58
47660434,C# in Unity 2026: Writing more modern code,technology,73,95,hacker_13,2026-04-10 09:36:59
